,Weight,Length,Diagonal,Height,Width,type
72,5.9,8.4,8.8,2.112,1.4080000000000001,A
73,32.0,13.7,14.7,3.528,1.9992,A
74,40.0,15.0,16.0,3.824,2.432,A
75,51.5,16.2,17.2,4.5924,2.6316,A
76,70.0,17.4,18.5,4.588,2.9415,A
77,100.0,18.0,19.2,5.2224,3.3216,A
78,78.0,18.7,19.4,5.1992,3.1234,A
79,80.0,19.0,20.2,5.6358,3.0502,A
80,85.0,19.6,20.8,5.1376,3.0368,A
81,85.0,20.0,21.0,5.082,2.772,A
82,110.0,21.0,22.5,5.6925,3.555,A
83,115.0,21.0,22.5,5.9175,3.3075,A
84,125.0,21.0,22.5,5.6925,3.6675,A
85,130.0,21.3,22.8,6.3839999999999995,3.534,A
86,120.0,22.0,23.5,6.11,3.4075,A
87,120.0,22.0,23.5,5.64,3.525,A
88,130.0,22.0,23.5,6.11,3.525,A
89,135.0,22.0,23.5,5.875,3.525,A
90,110.0,22.0,23.5,5.5225,3.995,A
91,130.0,22.5,24.0,5.856,3.6239999999999997,A
92,150.0,22.5,24.0,6.792000000000001,3.6239999999999997,A
93,145.0,22.7,24.2,5.9532,3.63,A
94,150.0,23.0,24.5,5.2185,3.6260000000000003,A
95,170.0,23.5,25.0,6.275,3.725,A
96,225.0,24.0,25.5,7.292999999999999,3.7230000000000003,A
97,145.0,24.0,25.5,6.375,3.825,A
98,188.0,24.6,26.2,6.7334,4.1658,A
99,180.0,25.0,26.5,6.4395,3.6835,A
100,197.0,25.6,27.0,6.561,4.239,A
101,218.0,26.5,28.0,7.167999999999999,4.144,A
102,300.0,27.3,28.7,8.323,5.1373,A
103,260.0,27.5,28.9,7.1672,4.335,A
104,265.0,27.5,28.9,7.0516,4.335,A
105,250.0,27.5,28.9,7.2828,4.5662,A
106,250.0,28.0,29.4,7.8204,4.2042,A
107,300.0,28.7,30.1,7.5852,4.6354,A
108,320.0,30.0,31.6,7.6156,4.7716,A
109,514.0,32.8,34.0,10.03,6.018,A
110,556.0,34.5,36.5,10.2565,6.3875,A
111,840.0,35.0,37.3,11.4884,7.7957,A
112,685.0,36.5,39.0,10.880999999999998,6.864,A
113,700.0,36.0,38.3,10.6091,6.7408,A
114,700.0,37.0,39.4,10.835,6.2646,A
115,690.0,37.0,39.3,10.5717,6.3666,A
116,900.0,39.0,41.4,11.1366,7.4934,A
117,650.0,39.0,41.4,11.1366,6.002999999999999,A
118,820.0,39.0,41.3,12.4313,7.3514,A
119,850.0,40.0,42.3,11.9286,7.1064,A
120,900.0,40.0,42.5,11.73,7.225,A
121,1015.0,40.0,42.4,12.3808,7.4624,A
122,820.0,40.0,42.5,11.135,6.63,A
123,1100.0,42.0,44.6,12.8002,6.8684,A
124,1000.0,43.0,45.2,11.9328,7.2772,A
125,1100.0,43.0,45.5,12.5125,7.4165,A
126,1000.0,43.5,46.0,12.604000000000001,8.142000000000001,A
127,1000.0,44.0,46.6,12.4888,7.5958,A
0,242.0,25.4,30.0,11.52,4.02,B
1,290.0,26.3,31.2,12.48,4.3056,B
2,340.0,26.5,31.1,12.3778,4.6961,B
3,363.0,29.0,33.5,12.73,4.4555,B
4,430.0,29.0,34.0,12.444,5.1339999999999995,B
5,450.0,29.7,34.7,13.6024,4.9274,B
6,500.0,29.7,34.5,14.1795,5.2785,B
7,390.0,30.0,35.0,12.67,4.69,B
8,450.0,30.0,35.1,14.0049,4.8438,B
9,500.0,30.7,36.2,14.2266,4.9594,B
10,475.0,31.0,36.2,14.2628,5.1042,B
11,500.0,31.0,36.2,14.3714,4.8146,B
12,500.0,31.5,36.4,13.7592,4.368,B
13,340.0,32.0,37.3,13.9129,5.0728,B
14,600.0,32.0,37.2,14.9544,5.1708,B
15,600.0,32.0,37.2,15.437999999999999,5.58,B
16,700.0,33.0,38.3,14.8604,5.2854,B
17,700.0,33.0,38.5,14.937999999999999,5.1975,B
18,610.0,33.5,38.6,15.633,5.1338,B
19,650.0,33.5,38.7,14.4738,5.7276,B
20,575.0,34.0,39.5,15.1285,5.5695,B
21,685.0,34.0,39.2,15.9936,5.3704,B
22,620.0,34.5,39.7,15.5227,5.2801,B
23,680.0,35.0,40.6,15.4686,6.1306,B
24,700.0,35.0,40.5,16.2405,5.5889999999999995,B
25,725.0,35.0,40.9,16.36,6.0532,B
26,720.0,35.0,40.6,16.3618,6.09,B
27,714.0,36.0,41.5,16.517,5.8515,B
28,850.0,36.0,41.6,16.8896,6.1984,B
29,1000.0,37.0,42.6,18.957,6.603,B
30,920.0,38.5,44.1,18.0369,6.3063,B
31,955.0,38.5,44.0,18.084,6.292000000000001,B
32,925.0,39.5,45.3,18.7542,6.7497,B
33,975.0,41.0,45.9,18.6354,6.7473,B
34,950.0,41.0,46.5,17.6235,6.3705,B
35,40.0,14.1,16.2,4.1472,2.2680000000000002,C
36,69.0,18.2,20.3,5.2983,2.8217,C
37,78.0,18.8,21.2,5.5756,2.9044,C
38,87.0,19.8,22.2,5.6166,3.1746,C
39,120.0,20.0,22.2,6.216,3.5742,C
40,0.0,20.5,22.8,6.4752,3.3516,C
41,110.0,20.8,23.1,6.1677,3.3957,C
42,120.0,21.0,23.7,6.1146,3.2943,C
43,150.0,22.0,24.7,5.8045,3.7544,C
44,145.0,22.0,24.3,6.6339,3.5478,C
45,160.0,22.5,25.3,7.0334,3.8203,C
46,140.0,22.5,25.0,6.55,3.325,C
47,160.0,22.5,25.0,6.4,3.8,C
48,169.0,24.0,27.2,7.5344,3.8352,C
49,161.0,23.4,26.7,6.9153,3.6312,C
50,200.0,23.5,26.8,7.3968,4.1272,C
51,180.0,25.2,27.9,7.0866,3.906,C
52,290.0,26.0,29.2,8.8768,4.4968,C
53,272.0,27.0,30.6,8.568,4.7736,C
54,390.0,31.7,35.0,9.485,5.355,C
128,200.0,32.3,34.8,5.568,3.3756,D
129,300.0,34.0,37.8,5.7078,4.158,D
130,300.0,35.0,38.8,5.9364,4.3844,D
131,300.0,37.3,39.8,6.2884,4.0198,D
132,430.0,38.0,40.5,7.29,4.5765,D
133,345.0,38.5,41.0,6.396,3.977,D
